index,sentence,video_path,sentence_original
5070,গরোম ই মোশা ওয়ানক,data/videos/video/5070.mp4,গরোম ই মোশা ওয়ানক
3930,গরোম ই মোশা ওয়ানক,data/videos/video/3930.mp4,গরোম ই মোশা ওয়ানক
4758,আমি বাংলায় কথা বলি,data/videos/video/4758.mp4,আমি বাংলায় কথা বলি
3768,আমি বাংলায় কথা বলি,data/videos/video/3768.mp4,আমি বাংলায় কথা বলি
2183,তুমি পরে শুনাও,data/videos/video/2183.mp4,তুমি পরে শুনাও
2334,আমার আঙ্গুর ভালো লাগে,data/videos/video/2334.mp4,আমার আঙ্গুর ভালো লাগে
3653,সকালে তুমি পাও রুটি ডিম্ জেলি খাবে,data/videos/video/3653.mp4,"সকালে তুমি পাও রুটি, ডিম্, জেলি খাবে"
4946,সকালে তুমি পাও রুটি ডিম্ জেলি খাবে,data/videos/video/4946.mp4,"সকালে তুমি পাও রুটি, ডিম্, জেলি খাবে"
1117,আমি তোমার খেয়াল রাখবো,data/videos/video/1117.mp4,আমি তোমার খেয়াল রাখবো
4929,আমার মেকআপ করা পছন্দ,data/videos/video/4929.mp4,আমার মেকআপ করা পছন্দ
3473,আমার মেকআপ করা পছন্দ,data/videos/video/3473.mp4,আমার মেকআপ করা পছন্দ
3546,গরমে বারবার পানি পান করবেন,data/videos/video/3546.mp4,গরমে বারবার পানি পান করবেন
5108,গরমে বারবার পানি পান করবেন,data/videos/video/5108.mp4,গরমে বারবার পানি পান করবেন
5423,সে কাজে অনেক ভালো,data/videos/video/5423.mp4,সে কাজে অনেক ভালো
1483,সে কাজে অনেক ভালো,data/videos/video/1483.mp4,সে কাজে অনেক ভালো
5387,তৃতীয়টি C,data/videos/video/5387.mp4,তৃতীয়টি C
3802,তৃতীয়টি C,data/videos/video/3802.mp4,তৃতীয়টি C
3349,দাদি ও নানি ইশারা ভাষার একই,data/videos/video/3349.mp4,দাদি ও নানি ইশারা ভাষার একই
5137,দাদি ও নানি ইশারা ভাষার একই,data/videos/video/5137.mp4,দাদি ও নানি ইশারা ভাষার একই
788,অনেক দিন বাচার আগ্রহ আছে,data/videos/video/788.mp4,অনেক দিন বাচার আগ্রহ আছে
4637,অনেক দিন বাচার আগ্রহ আছে,data/videos/video/4637.mp4,অনেক দিন বাচার আগ্রহ আছে
830,আপনি কোথায় থাকেন,data/videos/video/830.mp4,আপনি কোথায় থাকেন
4678,আপনি কোথায় থাকেন,data/videos/video/4678.mp4,আপনি কোথায় থাকেন
3479,আমি অনেক দিন থেকে শুয়ে আছি,data/videos/video/3479.mp4,আমি অনেক দিন থেকে শুয়ে আছি
5261,আমি অনেক দিন থেকে শুয়ে আছি,data/videos/video/5261.mp4,আমি অনেক দিন থেকে শুয়ে আছি
4633,অই শিশু আমার,data/videos/video/4633.mp4,অই শিশু আমার
784,অই শিশু আমার,data/videos/video/784.mp4,অই শিশু আমার
4053,তার অনেক সর্দি হয়েছে,data/videos/video/4053.mp4,তার অনেক সর্দি হয়েছে
1230,তার অনেক সর্দি হয়েছে,data/videos/video/1230.mp4,তার অনেক সর্দি হয়েছে
5061,আমার আব্বু অফিস কাজ কোরে,data/videos/video/5061.mp4,আমার আব্বু অফিস কাজ কোরে
3923,আমার আব্বু অফিস কাজ কোরে,data/videos/video/3923.mp4,আমার আব্বু অফিস কাজ কোরে
5254,প্রত্যেকদিন পানি তে গোসল,data/videos/video/5254.mp4,প্রত্যেকদিন পানি তে গোসল
3609,প্রত্যেকদিন পানি তে গোসল,data/videos/video/3609.mp4,প্রত্যেকদিন পানি তে গোসল
4960,ফুলের টব এ পানি রাখা যাবে না,data/videos/video/4960.mp4,ফুলের টব এ পানি রাখা যাবে না
3613,ফুলের টব এ পানি রাখা যাবে না,data/videos/video/3613.mp4,ফুলের টব এ পানি রাখা যাবে না
3903,অমর ভাই বিশোবদলয়ে পোরশোনা কোরে,data/videos/video/3903.mp4,অমর ভাই বিশোবদলয়ে পোরশোনা কোরে
5060,অমর ভাই বিশোবদলয়ে পোরশোনা কোরে,data/videos/video/5060.mp4,অমর ভাই বিশোবদলয়ে পোরশোনা কোরে
2653,আমার ফুফু পেয়ার খেতে পছন্দ করে,data/videos/video/2653.mp4,আমার ফুফু পেয়ার  খেতে পছন্দ করে
3914,অমি প্রোটিডিন নামাজ পোরি,data/videos/video/3914.mp4,অমি প্রোটিডিন নামাজ পোরি
5075,অমি প্রোটিডিন নামাজ পোরি,data/videos/video/5075.mp4,অমি প্রোটিডিন নামাজ পোরি
1686,আমার বাবা রবিবার মাছ খাবেহ,data/videos/video/1686.mp4,আমার বাবা রবিবার মাছ খাবেহ
1048,আমি আমার প্রতিবেশীর কাছে যাবো,data/videos/video/1048.mp4,আমি আমার প্রতিবেশীর কাছে যাবো
1252,তুমি কখন হাটবা,data/videos/video/1252.mp4,তুমি কখন হাটবা
4074,তুমি কখন হাটবা,data/videos/video/4074.mp4,তুমি কখন হাটবা
3624,বাহিরে গেলে আমি মাস্ক পড়ি হাত ধুই,data/videos/video/3624.mp4,"বাহিরে গেলে আমি মাস্ক পড়ি, হাত ধুই"
4906,বাহিরে গেলে আমি মাস্ক পড়ি হাত ধুই,data/videos/video/4906.mp4,"বাহিরে গেলে আমি মাস্ক পড়ি, হাত ধুই"
2312,আই এম সরি,data/videos/video/2312.mp4,আই এম সরি
3716,আমার বাবা একজন ব্যবসায়ী,data/videos/video/3716.mp4,আমার বাবা একজন ব্যবসায়ী
955,আমার বাবা একজন ব্যবসায়ী,data/videos/video/955.mp4,আমার বাবা একজন ব্যবসায়ী
5335,আমার বাবা একজন ব্যবসায়ী,data/videos/video/5335.mp4,আমার বাবা একজন ব্যবসায়ী
3385,আমার বাবা একজন ব্যবসায়ী,data/videos/video/3385.mp4,আমার বাবা একজন ব্যবসায়ী
5339,আমার বাবা একজন ব্যবসায়ী,data/videos/video/5339.mp4,আমার বাবা একজন ব্যবসায়ী
3540,গতকাল ভূমিকম্প হয়েছিল,data/videos/video/3540.mp4,গতকাল ভূমিকম্প হয়েছিল
5288,গতকাল ভূমিকম্প হয়েছিল,data/videos/video/5288.mp4,গতকাল ভূমিকম্প হয়েছিল
2330,আপনি দেখতে বেশ সুন্দর,data/videos/video/2330.mp4,আপনি দেখতে বেশ সুন্দর
5034,কক্স বাজার পরিষ্কার,data/videos/video/5034.mp4,কক্স বাজার পরিষ্কার
3532,কক্স বাজার পরিষ্কার,data/videos/video/3532.mp4,কক্স বাজার পরিষ্কার
3575,তুমি কোথায় যাচ্ছ,data/videos/video/3575.mp4,তুমি কোথায় যাচ্ছ
4991,তুমি কোথায় যাচ্ছ,data/videos/video/4991.mp4,তুমি কোথায় যাচ্ছ
3543,গরম পানির ভাপ নিবেন,data/videos/video/3543.mp4,গরম পানির ভাপ নিবেন
4925,গরম পানির ভাপ নিবেন,data/videos/video/4925.mp4,গরম পানির ভাপ নিবেন
3908,অমি আপনাক ভলোবশী,data/videos/video/3908.mp4,অমি আপনাক ভলোবশী
5037,অমি আপনাক ভলোবশী,data/videos/video/5037.mp4,অমি আপনাক ভলোবশী
2673,আমার বাব উকিল,data/videos/video/2673.mp4,আমার বাব উকিল
1003,আমার মা ইশারা ভাষা বলে,data/videos/video/1003.mp4,আমার মা ইশারা ভাষা বলে
3777,এটা আমার পরিবার,data/videos/video/3777.mp4,এটা আমার পরিবার
5346,এটা আমার পরিবার,data/videos/video/5346.mp4,এটা আমার পরিবার
4870,আমি শহরে থাকি,data/videos/video/4870.mp4,আমি শহরে থাকি
3526,আমি শহরে থাকি,data/videos/video/3526.mp4,আমি শহরে থাকি
3901,অমর খুব বেশী মিতা বেথা,data/videos/video/3901.mp4,অমর খুব বেশী মিতা বেথা
5080,অমর খুব বেশী মিতা বেথা,data/videos/video/5080.mp4,অমর খুব বেশী মিতা বেথা
5074,অ্যামি প্রোটিডিন খুব শোকলে ঘুম থেক উথি,data/videos/video/5074.mp4,অ্যামি প্রোটিডিন খুব শোকলে ঘুম থেক উথি
3917,অ্যামি প্রোটিডিন খুব শোকলে ঘুম থেক উথি,data/videos/video/3917.mp4,অ্যামি প্রোটিডিন খুব শোকলে ঘুম থেক উথি
3555,চিরদিন তোমার আকাশ তোমার বাতাস আমার প্রাণে বজায় বাঁশি,data/videos/video/3555.mp4,চিরদিন তোমার আকাশ তোমার বাতাস আমার প্রাণে বজায় বাঁশি
5257,চিরদিন তোমার আকাশ তোমার বাতাস আমার প্রাণে বজায় বাঁশি,data/videos/video/5257.mp4,চিরদিন তোমার আকাশ তোমার বাতাস আমার প্রাণে বজায় বাঁশি
1422,ভিতরে এসে বসো,data/videos/video/1422.mp4,ভিতরে এসে বসো
4243,ভিতরে এসে বসো,data/videos/video/4243.mp4,ভিতরে এসে বসো
3442,আমাকে লাল লিপস্টিক দাও,data/videos/video/3442.mp4,আমাকে লাল লিপস্টিক দাও
4927,আমাকে লাল লিপস্টিক দাও,data/videos/video/4927.mp4,আমাকে লাল লিপস্টিক দাও
4794,তোমার ছবিটি সুন্দর,data/videos/video/4794.mp4,তোমার ছবিটি সুন্দর
4128,তোমার ছবিটি সুন্দর,data/videos/video/4128.mp4,তোমার ছবিটি সুন্দর
3410,তোমার ছবিটি সুন্দর,data/videos/video/3410.mp4,তোমার ছবিটি সুন্দর
1306,তোমার ছবিটি সুন্দর,data/videos/video/1306.mp4,তোমার ছবিটি সুন্দর
4297,আমি জুলাইয়ের চীন যাব,data/videos/video/4297.mp4,আমি জুলাইয়ের চীন যাব
226,আমি জুলাইয়ের চীন যাব,data/videos/video/226.mp4,আমি জুলাইয়ের চীন যাব
4846,গ্যাস বিল ৯৫০ টাকা,data/videos/video/4846.mp4,গ্যাস বিল ৯৫০ টাকা
3552,গ্যাস বিল ৯৫০ টাকা,data/videos/video/3552.mp4,গ্যাস বিল ৯৫০ টাকা
1030,আমারা দুধ খাবো,data/videos/video/1030.mp4,আমারা দুধ খাবো
4999,আজ ছুটির দিন,data/videos/video/4999.mp4,আজ ছুটির দিন
3426,আজ ছুটির দিন,data/videos/video/3426.mp4,আজ ছুটির দিন
3949,আমার আত্মিয় ভালো,data/videos/video/3949.mp4,আমার আত্মিয় ভালো
874,আমার আত্মিয় ভালো,data/videos/video/874.mp4,আমার আত্মিয় ভালো
2559,আমার তাল ভালো লাগে,data/videos/video/2559.mp4,আমার তাল ভালো লাগে
1358,বর্তমানে আমি ভাবতেছি,data/videos/video/1358.mp4,বর্তমানে আমি ভাবতেছি
4188,বর্তমানে আমি ভাবতেছি,data/videos/video/4188.mp4,বর্তমানে আমি ভাবতেছি
4956,রাতে তুমি আলু ভর্তা ডাল রান্না করবে,data/videos/video/4956.mp4,"রাতে তুমি আলু ভর্তা, ডাল রান্না করবে"
3640,রাতে তুমি আলু ভর্তা ডাল রান্না করবে,data/videos/video/3640.mp4,"রাতে তুমি আলু ভর্তা, ডাল রান্না করবে"
2975,আমি গ্রীষ্মকালে বাড়িতে যাই,data/videos/video/2975.mp4,আমি গ্রীষ্মকালে বাড়িতে যাই
5425,সে অনেক সুস্থ্য আছে,data/videos/video/5425.mp4,সে অনেক সুস্থ্য আছে
1471,সে অনেক সুস্থ্য আছে,data/videos/video/1471.mp4,সে অনেক সুস্থ্য আছে
1010,আমার মা হস্পিটালে গেছে,data/videos/video/1010.mp4,আমার মা হস্পিটালে গেছে
3629,বিদ্যুৎ বিল ২৫০,data/videos/video/3629.mp4,বিদ্যুৎ বিল ২৫০
4843,বিদ্যুৎ বিল ২৫০,data/videos/video/4843.mp4,বিদ্যুৎ বিল ২৫০
3766,আমি দুঃখীত,data/videos/video/3766.mp4,আমি দুঃখীত
5323,আমি দুঃখীত,data/videos/video/5323.mp4,আমি দুঃখীত
