index,sentence,video_path
2946,আমি অফিসার,data/videos/video/2946.mp4
2829,আমার মামা আফ্রিকা যাবে,data/videos/video/2829.mp4
2941,আমি অক্টোবরে নেপাল যাবো,data/videos/video/2941.mp4
3841,সে আমার ম্যাডাম,data/videos/video/3841.mp4
5404,সে আমার ম্যাডাম,data/videos/video/5404.mp4
1019,আমার মেয়ে আছে,data/videos/video/1019.mp4
2762,আমার ভাই ইউরোপ যাবে,data/videos/video/2762.mp4
3221,আমি সোমবার আমেরিকা যাবো,data/videos/video/3221.mp4
3810,তোমার মাতৃভাষা বাংলা কি,data/videos/video/3810.mp4
5393,তোমার মাতৃভাষা বাংলা কি,data/videos/video/5393.mp4
3322,তোমার ফুফুর নাম কি,data/videos/video/3322.mp4
5201,তোমার ফুফুর নাম কি,data/videos/video/5201.mp4
1570,আমার চাচা সোমবার ভাত খায়,data/videos/video/1570.mp4
2408,আমার খালাতো ভাই বাংলাদেশে যাবি,data/videos/video/2408.mp4
119,আমার মামা মহাসাগর দেখতে যাবে,data/videos/video/119.mp4
4496,আমার মামা মহাসাগর দেখতে যাবে,data/videos/video/4496.mp4
2577,আমার ফুফা অস্ট্রেলিয়া যাবে,data/videos/video/2577.mp4
3790,তিনি আমার বাবা,data/videos/video/3790.mp4
5347,তিনি আমার বাবা,data/videos/video/5347.mp4
107,আমার মা সমুদ্র দেখতে যাবে,data/videos/video/107.mp4
4499,আমার মা সমুদ্র দেখতে যাবে,data/videos/video/4499.mp4
1549,আমার চাচা বৃহস্পতিবার দুধ খায়,data/videos/video/1549.mp4
2336,আমার আপেল ভালো লাগে,data/videos/video/2336.mp4
3504,আমি দুকানে যাবো একটি কাজল কিনতে,data/videos/video/3504.mp4
4928,আমি দুকানে যাবো একটি কাজল কিনতে,data/videos/video/4928.mp4
2551,আমার চাচী আফ্রিকা যাবে,data/videos/video/2551.mp4
2045,আমার স্বামী রবিবার মাংস খায়,data/videos/video/2045.mp4
2212,তুমি সোমবার দুধ খাবে,data/videos/video/2212.mp4
2446,আমার খালু সৌদি আরব যাবে,data/videos/video/2446.mp4
1719,আমার বোন খরগোশ দেখে নাই,data/videos/video/1719.mp4
3168,আমি শনিবারে জাপান যাবো,data/videos/video/3168.mp4
2523,আমার চাচাতো ভাই রাশিয়া যাবে,data/videos/video/2523.mp4
1607,আমার ছোট বোন তেলাপোকা দেখে নাই,data/videos/video/1607.mp4
