sentence,video_count
আপনার নাম কি,11
আপনি কি কাজ করেন,7
আবার দেখা হবে,6
কয়টা বাজে,6
শুভ সকাল,6
আপনি কোথায় কাজ করেন,5
আমার গ্রামের বাড়ি রংপুর,5
আমার দেশ বাংলাদেশ,5
আমার বাবা একজন ব্যবসায়ী,5
আমি ভালো আছি,5
আগামীকাল হলো রবিবার,4
আজকে বুধবার আমার জন্মদিন,4
আজকে সোমবার আমার জন্মদিন,4
আপনার কি কিছু প্রয়োজন,4
আপনার বয়স কত,4
আবার কবে দেখা হবে,4
আমি পেয়াজ খাবো,4
আমি মাংস খাবো,4
আমি শুক্রবার বাড়ি যাবো,4
এখন বর্ষাকাল,4
তুমি অনেক মেধাবী,4
তুমি ভালো নাচতে পারো,4
তোমার ছবিটি সুন্দর,4
দয়া করে,4
পারিবারিক সম্পর্ক,4
শুভ অপরাহ্ন,4
শুভ রাত্রি,4
হ্যালো,4
১২ মার্চ আমার জন্মদিন,4
২২ আগষ্ট আমার জন্মদিন,4
২২ জুন আমার জন্মদিন,4
২২ ডিসেম্বর আমার জন্মদিন,4
২২ নভেম্বর আমার জন্মদিন,4
আজ শুক্রবার,4
তোমার বাসা কোথায়,4
আপনি ভালো থাকবেন,4
আমি আপনাকে সাহায্য করব,4
ওই মেয়েটা আমার বন্ধু,4
আজকের দিনটা সুন্দর,4
কিভাবে সাহায্য করতে পারি,4
আমার মুরগি ভালো লাগে,3
আমাকে অল্প খানা দাও,3
আমার খালা অনেক ভালো,3
আমার বৃহস্পতিবার জন্মদিন,3
আমার মা যাচ্ছে,3
আমার মাতৃভাষা বাংলা,3
আমার মেয়ে অনেক সুন্দর,3
আমি ইশারা ভাষা জানি,3
আমি তোমাকে পছন্দ করি,3
সে একজন শারিরীক প্রতিবন্ধী,3
১২ অক্টোবর আমার জন্মদিন,3
১২ এপ্রিল আমার জন্মদিন,3
১২ জানুয়ারি আমার জন্মদিন,3
১২ জুলাই আমার জন্মদিন,3
১২ ফেব্রুয়ারী আমার জন্মদিন,3
১২ মে আমার জন্মদিন,3
আমরা মুরগী দেখছি,3
আমার বাবা ঘোড়া দেখেছে,3
আমার বাবা তেলাপোকা দেখেছে,3
আমার ভাই টিয়া পাখি দেখে নাই,3
আমার ভাই তেলাপোকা দেখেছে,3
আমার ভাই বুধবার দুধ খায়,3
আমার ভাই বুধবার মাংস খায়,3
আমার ভাই বুধবার মাছ খায়,3
আমার ভাই বৃহস্পতিবার দুধ খায়,3
আমার ভাই বৃহস্পতিবার মাংস খায়,3
আমার ভাই বৃহস্পতিবার মাছ খায়,3
আমার মা তেলাপোকা দেখে নাই,3
